commit	val_bpb	size_bytes	size_ok	status	param_changes	description
2397c5b	1.29656339	15056094	yes	keep	baseline	baseline HEAD run with standard eval, no EMA, default 2000-step runner
88ae44b	0.00000000	0	n/a	crash	EVAL_STRIDE=64	sliding evaluation exceeded 15-minute total timeout before final metrics
3de950f	1.30088756	14950024	yes	discard	EMA_ENABLED=1	enable EMA by default; worse post-quant bpb despite slightly smaller artifact
9d098c5	0.00000000	0	n/a	crash	INT8_CLIP_PERCENTILE=99.999	run timed out under heavy machine contention before final metrics
2397c5b	1.21803700	15900224	yes	keep	baseline	full 20000-step baseline rerun on promoted HEAD with standard evaluation
2397c5b	1.70763809	15910096	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_STEPS=1 TTT_PREFIX_TOKENS=128	document-scope self-learning rerun to verify real adaptation and post-quant gain
2397c5b	1.83743383	15901554	yes	discard	TTT_ENABLE=1 TTT_SCOPE=sequence TTT_STEPS=1 TTT_PREFIX_TOKENS=128	sequence-scope self-learning rerun to compare against document-scope adaptation
2397c5b	1.70855981	15901930	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_STEPS=2 TTT_PREFIX_TOKENS=128	document-scope self-learning rerun with two online updates per adapted window
2397c5b	1.70814995	15901472	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_LR=0.003 TTT_PREFIX_TOKENS=128	document-scope self-learning rerun with lower adaptation learning rate
2397c5b	1.70634470	15909750	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_LR=0.03 TTT_PREFIX_TOKENS=128	document-scope self-learning rerun with higher adaptation learning rate
2397c5b	1.71203171	15905636	yes	discard	TTT_ENABLE=1 TTT_SCOPE=document TTT_PARAM_PATTERNS=attn_scale,mlp_scale,resid_mix,q_gain,skip_weight	document-scope self-learning rerun with a wider matched parameter set for adaptation
2397c5b	1.18390334	15903423	yes	keep	EVAL_STRIDE=64	baseline rerun with sliding evaluation stride 64 to assess standalone utility
2397c5b	1.21728762	15904076	yes	discard	EMA_ENABLED=1	baseline rerun with EMA enabled to test compatibility with the self-learning path
becf14a	1.21845211	15912416	yes	discard	INT8_CLIP_PERCENTILE=99.999	baseline rerun with a lower int8 clip percentile using a dedicated candidate branch
b8213cd	1.72277661	15910822	yes	discard	TTT_ENABLE=1 TTT_MODE=lora TTT_SCOPE=document TTT_LORA_RANK=8 TTT_CHUNK_SIZE=64	LoRA-style document-scope TTT candidate branch; adaptation activated but severely regressed post-quant performance
b8213cd	1.77722979	15917863	yes	discard	TTT_ENABLE=1 TTT_MODE=lora TTT_SCOPE=document TTT_LORA_RANK=8 TTT_CHUNK_SIZE=256 TTT_BATCH_SIZE=64	LoRA-style document-scope TTT with public-style chunking/batching cut optimizer steps sharply, but post-quant performance regressed further
b8213cd	1.81628458	15919540	yes	discard	TTT_ENABLE=1 TTT_MODE=lora TTT_SCOPE=document TTT_LORA_RANK=1 TTT_CHUNK_SIZE=256 TTT_BATCH_SIZE=64	LoRA-style document-scope TTT capacity sweep with rank-1 adapters; adaptation remained active but regressed further than the rank-8 chunk256 baseline
ce5d51f	1.86828015	15909996	yes	discard	TTT_PROTOCOL=score_first TTT_SCOPE=document TTT_LR=0.003 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=256 TTT_EPOCHS=1	first score-first chunked control-parameter TTT on the promoted baseline; adaptation was real but massively regressed bpb and made eval extremely slow
ce5d51f	1.87865378	15914942	yes	discard	TTT_PROTOCOL=score_first TTT_SCOPE=document TTT_LR=0.003 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=256 TTT_EPOCHS=0	score-first control-parameter protocol ablation with no updates; adapted_docs=0/update_steps=0 yet post-quant regressed further, showing the chunked evaluator itself is harmful
a179b1b	1.18401344	15912292	yes	discard	EVAL_STRIDE=64 TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=0 TTT_CHUNK_TOKENS=32768 TTT_LR=0.002 TTT_MOMENTUM=0.9	Global score-first no-update ablation on a stride64-preserving harness; stride stayed active and matched baseline timing, but post-quant bpb was worse by 0.00011 so the branch stays archived
a179b1b	0.00000000	0	n/a	crash	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=3 TTT_LR=0.0015 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 EVAL_STRIDE=64 GRAD_CLIP_NORM=1.0	First real global score-first adapting run on the stride64 candidate; completed 20000 training steps but crashed at the first TTT backward because inference-mode rotary cache tensors were reused in the grad-enabled path
4903b77	0.00000000	0	n/a	crash	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=3 TTT_LR=0.0015 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 EVAL_STRIDE=64 GRAD_CLIP_NORM=1.0	Re-run on the rotary-cache-fix candidate entered _adapt_ttt_chunk backward successfully, but was manually stopped after 10153s of final eval without post-quant metrics; adaptation is live and the current epochs=3 implementation is operationally too slow on Seeweb
4903b77	1.91513636	15913526	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.0015 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 EVAL_STRIDE=64 GRAD_CLIP_NORM=1.0	Global score-first control-parameter TTT rerun on the rotary-cache-fix candidate with one adaptation epoch; the TTT path kept stride 64 active but post-quant bpb collapsed far below the matched epochs=0 harness
2eb44c9	1.18115800	15912213	yes	keep	EVAL_STRIDE=64 MLP_ACT=LeakyReLU(0.5)^2	Zero-byte training-side bridge on a fresh candidate branch: replaced relu^2 with LeakyReLU(0.5)^2, kept stride-64 sliding eval and TTT disabled, and beat the promoted baseline by 0.00274534 bpb
70932a1	1.18474112	15899018	yes	discard	EVAL_STRIDE=64 LN_SCALE=1	Isolated LN Scale bridge on top of the promoted LeakyReLU(0.5)^2 baseline; reduced artifact size but regressed both pre-quant and final post-quant bpb, so the candidate branch stays archived
343b911	1.17997170	15908404	yes	keep	EVAL_STRIDE=64 ROPE_DIMS=16	Isolated Partial RoPE bridge on top of the promoted LeakyReLU(0.5)^2 baseline; rotating only 16 of 64 dims per head improved both sliding pre-quant and final post-quant bpb, so the candidate earns promotion
9588e6f	2.04414684	15927945	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_PARAM_PATTERNS=blocks.8. EVAL_STRIDE=64	Fresh candidate from the promoted Partial RoPE branch with the minimal global score-first harness; final-block broad-weight TTT activated heavily (adapted_chunks=1892, update_steps=968704) but catastrophically regressed final post-quant bpb
9588e6f	1.18043347	15918252	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=0 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_PARAM_PATTERNS=blocks.8. EVAL_STRIDE=64	Matched no-update ablation on the final-block score-first harness; adapted_chunks=0 and update_steps=0 kept the protocol near the promoted stride64 baseline, so the catastrophic r23 collapse came mostly from adaptation rather than the harness alone
9588e6f	2.14470812	15920672	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_PARAM_PATTERNS=blocks.8.attn. EVAL_STRIDE=64	Attention-only localization on the final-block score-first harness kept real adaptation alive (adapted_chunks=1892, update_steps=968704) but regressed even below the broad blocks.8 target while still requiring multi-hour eval, so the candidate branch remains archived
46c6f9d	2.10066147	15917810	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_PARAM_PATTERNS=blocks.8.mlp. EVAL_STRIDE=64	MLP-only localization on a fresh score-first candidate kept real adaptation alive (adapted_chunks=1892, update_steps=968704) but still catastrophically regressed final post-quant bpb; it beat attention-only but stayed worse than the broader blocks.8 target, so the branch stays archived
9588e6f	2.04260494	15928018	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_PARAM_PATTERNS=blocks.8. EVAL_STRIDE=64 GRAD_CLIP_NORM=1.0	Broad final-block score-first TTT rerun with gradient clipping 1.0; runtime output confirmed real adaptation (adapted_chunks=1892, update_steps=968704) and a tiny improvement versus the unclipped broad run, but final post-quant bpb stayed catastrophically above the no-update harness and the promoted baseline
343b911	1.17921743	15903880	yes	keep	EVAL_STRIDE=64 EMA_ENABLED=1	EMA retest on the promoted LeakyReLU(0.5)^2 + Partial RoPE substrate; sliding pre-quant moved to 1.1720 and final post-quant improved by 0.00075427 vs r22 without changing code bytes
a6fa3a5	1.18253047	15905190	yes	discard	EVAL_STRIDE=64 EMA_ENABLED=1 LN_SCALE=1	Retest LN Scale on the current Partial RoPE + EMA stride64 substrate; it improved over the old pre-EMA LN-scale run but stayed 0.00331304 bpb worse and 1310 bytes larger than the kept EMA-era baseline, so the candidate branch remains archived
343b911	1.17874483	15903749	yes	keep	EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=2000	Warmdown bridge on the kept Partial RoPE + EMA stride64 substrate; extending the LR tail from 1200 to 2000 steps improved both pre-quant and final post-quant bpb while shaving 131 bytes, so this becomes the new non-TTT substrate
343b911	1.17814907	15902846	yes	keep	EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500	Warmdown bridge follow-up on the kept Partial RoPE + EMA stride64 substrate; extending the LR tail to 3500 steps improved final post-quant bpb by 0.00059576 vs the warmdown-2000 keep while shrinking the artifact by 903 bytes, so this becomes the new non-TTT substrate
8aab5cb	1.17900858	15928182	yes	discard	score-first-global refresh + cosine chunk LR + rotary-cache fix; TTT_EPOCHS=0 TTT_PARAM_PATTERNS=blocks.8.mlp.proj. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Fresh no-update anchor on the promoted Warmdown3500+EMA substrate: score-first global preserved stride64 with adapted_chunks=0 and update_steps=0, beat the stale r24 anchor, but stayed 0.00085951 bpb and 25336 bytes worse than the promoted r31 baseline, so the candidate branch remains archived
8aab5cb	2.09906305	15930999	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_PARAM_PATTERNS=blocks.8.mlp.proj. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	First adapting localization on the cosine score-first harness targeting only blocks.8.mlp.proj.; runtime output confirmed real adaptation (adapted_chunks=1892, update_steps=968704, stride_active=1) but final post-quant bpb collapsed by 0.92005447 vs the matched no-update anchor, so the candidate branch stays archived
ce3d05b	2.12150686	15927300	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_PARAM_PATTERNS=blocks.8.attn_scale,blocks.8.mlp_scale,blocks.8.resid_mix EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Routing-only localization on the cosine score-first harness kept real adaptation active (adapted_chunks=1892, update_steps=968704, stride_active=1) but regressed even below the prior mlp.proj surface while requiring two ~10.2k s TTT eval passes, so the candidate branch stays archived
2a31623	2.11642883	15924130	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_PARAM_PATTERNS=blocks.8.attn.proj. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Refreshed score-first candidate with persisted runtime summary, localized to blocks.8.attn.proj.; logs confirmed real adaptation twice (adapted_chunks=1892, update_steps=968704, stride_active=1) but final post-quant bpb collapsed by 0.93742025 vs the matched r32 anchor, so the candidate branch stays archived
2a31623	2.13327565	15925433	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_PARAM_PATTERNS=blocks.8.attn.c_v. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Refreshed score-first candidate with persisted runtime summary, localized to blocks.8.attn.c_v.; logs confirmed real adaptation twice (adapted_chunks=1892, update_steps=968704, stride_active=1) but final post-quant bpb collapsed by 0.95426707 vs the matched r32 anchor, so the pure existing-weight sweep closes and the branch stays archived
3a4ce09	1.17712638	15932190	yes	keep	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=0 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_CV_CARRIER_RANK=4 TTT_PARAM_PATTERNS=blocks.8.attn.c_v_carrier. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Tiny zero-init fast-weight carrier on blocks.8.attn.c_v. with the persisted score-first harness; no-update eval kept adapted_chunks=0 and update_steps=0, beat r32 by 0.00188220 bpb and r31 by 0.00102269 under the size limit, so the carrier branch earns promotion
3a4ce09	2.13753050	15929019	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_CV_CARRIER_RANK=4 TTT_PARAM_PATTERNS=blocks.8.attn.c_v_carrier. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	First adapting run on the promoted c_v carrier; logs confirmed real score-first adaptation twice (adapted_chunks=1892, update_steps=968704, stride_active=1) but final post-quant bpb collapsed by 0.96040412 vs the matched r37 anchor and even trailed the archived existing-weight sweeps, so the carrier adaptation line is discarded and the next bridge should pivot to WARMDOWN_ITERS=4000
3a4ce09	1.17787825	15926057	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=0 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_CV_CARRIER_RANK=4 TTT_PARAM_PATTERNS=blocks.8.attn.c_v_carrier. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=4000 GRAD_CLIP_NORM=1.0	Zero-byte bridge retest on the promoted c_v carrier harness; score-first no-update stayed live (adapted_chunks=0, update_steps=0, stride_active=1) and shaved 6133 bytes, but final post-quant bpb regressed by 0.00075187 vs r37, so WARMDOWN_ITERS=4000 is archived and the next shortlist should return to carrier-stability probes
3a4ce09	2.13605555	15934923	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.001 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_CV_CARRIER_RANK=4 TTT_PARAM_PATTERNS=blocks.8.attn.c_v_carrier. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Lower-LR carrier stabilizer on the promoted score-first harness; logs again confirmed real adaptation twice (adapted_chunks=1892, update_steps=968704, stride_active=1) and recovered only 0.00147495 bpb vs r38 while still finishing 0.95892917 bpb worse than the matched r37 anchor, so pure LR reduction does not rescue carrier forgetting
3a4ce09	1.17878298	15941322	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=0 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_CV_CARRIER_RANK=2 TTT_PARAM_PATTERNS=blocks.8.attn.c_v_carrier. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Rank-2 c_v carrier matched anchor on a fresh candidate branch; logs kept the score-first harness live with adapted_chunks=0, update_steps=0, and stride_active=1, but final post-quant bpb regressed by 0.00165660 vs r37 while using 9132 more bytes, so the branch stays archived even though the drift is small enough to keep one matched adapting rank-2 follow-up on the shortlist
3a4ce09	2.15885029	15935450	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.001 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_CV_CARRIER_RANK=2 TTT_PARAM_PATTERNS=blocks.8.attn.c_v_carrier. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Matched adapting follow-up on the archived rank-2 c_v carrier anchor; logs confirmed real score-first adaptation twice (matched_params=1536, adapted_chunks=1892, update_steps=968704, stride_active=1), but final post-quant val_bpb collapsed to 2.15885029 at 15935450 bytes, which is 0.98172391 worse than r37 and 0.02279474 worse than the lower-LR rank-4 carrier run, so direct carrier TTT is paused in favor of substrate work.
9689d36	1.17685468	15937725	yes	keep	code: per-row int8 clip search; EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 TTT_ENABLE=0	GPTQ-lite-style per-row int8 clip-search candidate on the promoted EMA+warmdown3500 stride64 substrate with TTT disabled; the search beat the old default clip on 27590/28672 rows, improved final post-quant bpb by 0.00129439 vs r31 and 0.00027170 vs r37, and stayed valid at 15937725 bytes, so the branch earns promotion.
9689d36	1.17719201	15936229	yes	keep	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=0 TTT_LR=0.002 TTT_MOMENTUM=0.9 TTT_CHUNK_TOKENS=32768 TTT_CV_CARRIER_RANK=4 TTT_PARAM_PATTERNS=blocks.8.attn.c_v_carrier. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Matched no-update carrier anchor on the promoted GPTQ-lite row-clip substrate; logs kept adapted_chunks=0, update_steps=0, and stride_active=1, and final post-quant val_bpb finished 0.00033733 worse than the new non-TTT keep r43 but only 0.00006563 worse than r37 while using 1496 fewer bytes than r43, so this passes the post-bridge anchor gate and becomes the reference for the next adapting stabilizer run.
9689d36	0.00000000	0	n/a	crash	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.0 TTT_CHUNK_TOKENS=32768 TTT_CV_CARRIER_RANK=4 TTT_PARAM_PATTERNS=blocks.8.attn.c_v_carrier. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Matched adapting follow-up on the promoted GPTQ-lite row-clip substrate with zero TTT momentum; training reached step 20000 but the persisted log stopped before any pre-quant or final post-quant eval lines, so the run is archived as an incomplete crash with no valid adaptation evidence or final metric.
9689d36	2.15711753	15940694	yes	discard	TTT_ENABLE=1 TTT_PROTOCOL=score_first TTT_SCOPE=global TTT_EPOCHS=1 TTT_LR=0.002 TTT_MOMENTUM=0.0 TTT_CHUNK_TOKENS=32768 TTT_CV_CARRIER_RANK=4 TTT_PARAM_PATTERNS=blocks.8.attn.c_v_carrier. EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 GRAD_CLIP_NORM=1.0	Clean rerun of the post-bridge zero-momentum carrier stabilizer on the promoted GPTQ-lite row-clip substrate; logs now fully persist real legal adaptation twice (adapted_chunks=1892, update_steps=968704, stride_active=1), artifact size stays valid at 15940694 bytes, but final post-quant val_bpb collapses to 2.15711753, which is 0.97992552 worse than r44 and 0.01958703 worse than r38, so zero TTT momentum closes as a valid discard and pure carrier momentum stabilizers are retired.
ed4be84	1.17673157	15931124	yes	keep	code: optional deepest-layer XSA-lite bridge; XSA_LAST_N=3 EVAL_STRIDE=64 EMA_ENABLED=1 WARMDOWN_ITERS=3500 TTT_ENABLE=0	Minimal deepest-3 XSA-lite bridge on the promoted GPTQ-lite row-clip substrate with TTT disabled; training throughput stayed neutral, sliding pre-quant moved to 1.1695, final post-quant val_bpb improved by 0.00012311 vs r43 and 0.00046044 vs r44 at 15931124 bytes, so the branch earns promotion and the next required run is the matched score-first no-update anchor on the new substrate.
